id,tab,name,department,category,upc,price,imageSearchUrl,approvedImageUrl
smoking-01392,smoking,BIC EZ REACH LIGHTERS,LIGHTERS,REGULAR LIGHTERS,070330658721,4.49,https://www.google.com/search?tbm=isch&q=BIC+EZ+REACH+LIGHTERS+070330658721+product+image,
smoking-01393,smoking,CLIPPER LIGHTERS TYSON 2.0,LIGHTERS,REGULAR LIGHTERS,091585029685,2.99,https://www.google.com/search?tbm=isch&q=CLIPPER+LIGHTERS+TYSON+2.0+091585029685+product+image,
smoking-01394,smoking,RAW SOLAR LIGHTER,LIGHTERS,SOLAR LIGHTER,716165303718,15.0,https://www.google.com/search?tbm=isch&q=RAW+SOLAR+LIGHTER+716165303718+product+image,
smoking-01395,smoking,9MM PISTOL TORCH LIGHTER,LIGHTERS,TORCH LIGHTERS,707670190252,15.0,https://www.google.com/search?tbm=isch&q=9MM+PISTOL+TORCH+LIGHTER+707670190252+product+image,
smoking-01396,smoking,ALEAF SUPERNOVA BLACK 5'' BLOW TRORCH,LIGHTERS,TORCH LIGHTERS,720053584417,15.0,https://www.google.com/search?tbm=isch&q=ALEAF+SUPERNOVA+BLACK+5%27%27+BLOW+TRORCH+720053584417+product+image,
smoking-01397,smoking,ALEAF SUPERNOVA BLUE 5'' BLOW TRORCH,LIGHTERS,TORCH LIGHTERS,720053584363,15.0,https://www.google.com/search?tbm=isch&q=ALEAF+SUPERNOVA+BLUE+5%27%27+BLOW+TRORCH+720053584363+product+image,
smoking-01398,smoking,ALEAF SUPERNOVA FOREST 5'' BLOW TRORCH,LIGHTERS,TORCH LIGHTERS,720053588361,15.0,https://www.google.com/search?tbm=isch&q=ALEAF+SUPERNOVA+FOREST+5%27%27+BLOW+TRORCH+720053588361+product+image,
smoking-01399,smoking,ALEAF SUPERNOVA RED 5'' BLOW TRORCH,LIGHTERS,TORCH LIGHTERS,720053588385,15.0,https://www.google.com/search?tbm=isch&q=ALEAF+SUPERNOVA+RED+5%27%27+BLOW+TRORCH+720053588385+product+image,
smoking-01400,smoking,BLINK TORCH LB03 BLACK,LIGHTERS,TORCH LIGHTERS,018505134021,25.0,https://www.google.com/search?tbm=isch&q=BLINK+TORCH+LB03+BLACK+018505134021+product+image,
smoking-01401,smoking,BLINK TORCH MB01 RED,LIGHTERS,TORCH LIGHTERS,018505133611,20.0,https://www.google.com/search?tbm=isch&q=BLINK+TORCH+MB01+RED+018505133611+product+image,
