product_id,tab,product_name,upc,department,category,current_image_path,ak_wholesale_product_name,ak_image_url,notes
glass-00171,glass,$20 BOWL / BANGERS,6139100000,GLASS,GLASS ACCESSORIES,,,,
glass-00172,glass,$20 CARB CAPS,6139700000,GLASS,GLASS ACCESSORIES,,,,
glass-00173,glass,$20 DAB TOOL,6140100000,GLASS,GLASS ACCESSORIES,,,,
glass-00174,glass,$25 BOWL / BANGERS,6139200000,GLASS,GLASS ACCESSORIES,,,,
glass-00175,glass,$25 CARB CAPS,6139800000,GLASS,GLASS ACCESSORIES,,,,
glass-00176,glass,$25 LOOKAH BOWLS,6266400000,GLASS,GLASS ACCESSORIES,,,,
glass-00177,glass,$3 DAB TOOL,6394100000,GLASS,GLASS ACCESSORIES,,,,
glass-00178,glass,$3 SILICONE DAB CONTAINER,6247800000,GLASS,GLASS ACCESSORIES,,,,
glass-00179,glass,$30 BOWL / BANGERS,061393010014,GLASS,GLASS ACCESSORIES,,,,
glass-00180,glass,$30 DAB TOOL,6140200000,GLASS,GLASS ACCESSORIES,,,,
glass-00181,glass,$30 KNIFE DAB TOOL,6266500000,GLASS,GLASS ACCESSORIES,,,,
glass-00182,glass,$35 BOWL / BANGERS,6139400000,GLASS,GLASS ACCESSORIES,,,,
glass-00183,glass,$5 DAB TOOL,6407800000,GLASS,GLASS ACCESSORIES,,,,
glass-00184,glass,$5 DOWNSTEM,gdjar05,GLASS,GLASS ACCESSORIES,,,,
glass-00185,glass,$7 DAB TOOL,6139900000,GLASS,GLASS ACCESSORIES,,,,
glass-00186,glass,90 DEGREE RECLAIM CATCHER 14MM MALE,123456781531,GLASS,GLASS ACCESSORIES,,,,
glass-00187,glass,ALEAF KIT DEEP DISH,766129865059,GLASS,GLASS ACCESSORIES,,,,
glass-00188,glass,ALEAF KIT HOUR GLASS,766129868098,GLASS,GLASS ACCESSORIES,,,,
glass-00189,glass,ALEAF SPINNER KIT 'BULLET',720053584776,GLASS,GLASS ACCESSORIES,,,,
glass-00190,glass,ALEAF SPINNER KIT 'DRIP',720053582284,GLASS,GLASS ACCESSORIES,,,,
glass-00191,glass,ALEAF SPINNER KIT 'PILLAR',720053585049,GLASS,GLASS ACCESSORIES,,,,
